category,comment/name,DOI,units,temperature,cation1,cation1_conc,cation2,cation2_conc,cation3,cation3_conc,cation4,cation4_conc,anion1,anion1_conc,anion2,anion2_conc,anion3,anion3_conc,anion4,anion4_conc,solvent1,solvent1_ratio,solvent2,solvent2_ratio,solvent3,solvent3_ratio,solvent4,solvent4_ratio,solvent5,solvent5_ratio
Li,Gen2,10.1039/d1sc04265c,volume,300,Li+,1.2,,,,,,,F6P-,1.2,,,,,,,C3H4O3,1,C4H8O3,2,,,,,,
,Gen2-hightemp,10.1039/d1sc04265c,volume,370,Li+,1.2,,,,,,,F6P-,1.2,,,,,,,C3H4O3,1,C4H8O3,2,,,,,,
,Gen2-FSI,10.1149/1945-7111/ac67b5,volume,300,Li+,1.5,,,,,,,F2NO4S2-,1.5,,,,,,,C3H4O3,1,C3H6O3,2,,,,,,
,Gen2-FSI-hightemp,10.1149/1945-7111/ac67b5,volume,370,Li+,1.5,,,,,,,F2NO4S2-,1.5,,,,,,,C3H4O3,1,C3H6O3,2,,,,,,
,GenF,10.1039/d1sc04265c,volume,300,Li+,1.2,,,,,,,F6P-,1.2,,,,,,,C3H4O3,3,C4H8O3,6,C3H3FO3,1,,,,
,GenF-hightemp,10.1039/d1sc04265c,volume,370,Li+,1.2,,,,,,,F6P-,1.2,,,,,,,C3H4O3,3,C4H8O3,6,C3H3FO3,1,,,,
,Water-in-salt-5,10.1126/science.aab1595,mass,300,Li+,5,,,,,,,C2F6NO4S2-,5,,,,,,,H2O,1,,,,,,,,
,Water-in-salt-5-hightemp,10.1126/science.aab1595,mass,350,Li+,5,,,,,,,C2F6NO4S2-,5,,,,,,,H2O,1,,,,,,,,
,Water-in-salt-20,10.1126/science.aab1595,mass,300,Li+,20,,,,,,,C2F6NO4S2-,20,,,,,,,H2O,1,,,,,,,,
,Water-in-salt-20-hightemp,10.1126/science.aab1595,mass,350,Li+,20,,,,,,,C2F6NO4S2-,20,,,,,,,H2O,1,,,,,,,,
,High-C-1,10.1038/ncomms12032,volume,300,Li+,5.5,,,,,,,F2NO4S2-,5.5,,,,,,,C3H6O3,1,,,,,,,,
,High-C-1-hightemp,10.1038/ncomms12032,volume,400,Li+,5.5,,,,,,,F2NO4S2-,5.5,,,,,,,C3H6O3,1,,,,,,,,
,High-C-2,10.1038/ncomms7362,volume,300,Li+,4,,,,,,,F2NO4S2-,5.5,,,,,,,C4H10O2,1,,,,,,,,
,High-C-2-hightemp,10.1038/ncomms7362,volume,350,Li+,4,,,,,,,F2NO4S2-,5.5,,,,,,,C4H10O2,1,,,,,,,,
,LHCE-1,10.1149/2.0611701jes,mass,300,Li+,2.5,,,,,,,BF4-,2.5,,,,,,,C4H6O3,2,C5H4F8O,1,,,,,,
,LHCE-1-hightemp,10.1149/2.0611701jes,mass,370,Li+,2.5,,,,,,,BF4-,2.5,,,,,,,C4H6O3,2,C5H4F8O,1,,,,,,
,LHCE-2,10.1016/j.chempr.2018.05.002,number,300,Li+,1,,,,,,,F2NO4S2-,1,,,,,,,C4H8O2S,3,C5H4F8O,3,,,,,,
,LHCE-2-hightemp,10.1016/j.chempr.2018.05.002,number,370,Li+,1,,,,,,,F2NO4S2-,1,,,,,,,C4H8O2S,3,C5H4F8O,3,,,,,,
,Li-metal-nitrate,10.1021/acsenergylett.8b02376,volume,300,Li+,2.2,,,,,,,F2NO4S2-,2,NO3-,0.2,,,,,C4H10O2,1,,,,,,,,
,Li-metal-nitrate-hightemp,10.1021/acsenergylett.8b02376,volume,350,Li+,2.2,,,,,,,F2NO4S2-,2,NO3-,0.2,,,,,C4H10O2,1,,,,,,,,
,LMEAS-1,10.1016/j.joule.2019.02.003,volume,300,Li+,1,,,,,,,BF4-,1,,,,,,,C4H8O,98,C2H6O,2,,,,,,
,LMEAS-1-hightemp,10.1016/j.joule.2019.02.003,volume,340,Li+,1,,,,,,,BF4-,1,,,,,,,C4H8O,99,C2H6O,2,,,,,,
,LMEAS-2,10.1016/0022-0728(93)03025-K,volume,300,Li+,0.2,,,,,,,ClO4-,0.2,,,,,,,C4H8O,99,C2H6O,1,,,,,,
,LMEAS-2-concentrated,,volume,300,Li+,1,,,,,,,ClO4-,1,,,,,,,C4H8O,9,C2H6O,1,,,,,,
,Lowtemp-1,10.1021/acsami.1c23934,volume,250,Li+,1,,,,,,,F6P-,1,,,,,,,C4H7N,3,C3H3FO3,1,,,,,,
,Lowtemp-1-lesslow,10.1021/acsami.1c23934,volume,370,Li+,1,,,,,,,F6P-,1,,,,,,,C4H7N,3,C3H3FO3,1,,,,,,
,Lowtemp-2,10.1039/c7ta05743a,volume,270,Li+,1,,,,,,,C4BO8-,1,,,,,,,C4H6O2,5,C5H4F8O,1,,,,,,
,Lowtemp-2-lesslow,10.1039/c7ta05743a,volume,330,Li+,1,,,,,,,C4BO8-,1,,,,,,,C4H6O2,5,C5H4F8O,1,,,,,,
,Aqueous-1,,mass,300,Li+,0.1,,,,,,,Cl-,0.1,,,,,,,H2O,1,,,,,,,,
,Aqueous-1-concentrated,10.1021/jp402532e,mass,300,Li+,3,,,,,,,Cl-,3,,,,,,,H2O,1,,,,,,,,
,Aqueous-1-hightemp,10.1021/jp402532e,mass,350,Li+,3,,,,,,,Cl-,3,,,,,,,H2O,1,,,,,,,,
,Aqueous-2,,mass,300,Li+,0.2,,,,,,,O4S-2,0.1,,,,,,,H2O,1,,,,,,,,
,Aqueous-2-concentrated,10.1021/jp402532e,mass,300,Li+,3,,,,,,,O4S-2,1.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-2-hightemp,10.1021/jp402532e,mass,350,Li+,3,,,,,,,O4S-2,1.5,,,,,,,H2O,1,,,,,,,,
,Li-IL-1,10.1039/C4CP01133C,number,300,Li+,7.5,C6H11N2+,2.5,,,,,C2F6NO4S2-,10,,,,,,,,,,,,,,,,
,Li-IL-hightemp,10.1039/C4CP01133C,number,450,Li+,7.5,C6H11N2+,2.5,,,,,C2F6NO4S2-,10,,,,,,,,,,,,,,,,
,Li-IL-2,10.1039/C4CP01133C,number,300,Li+,7.5,C8H18N+,2.5,,,,,C2F6NO4S2-,10,,,,,,,,,,,,,,,,
,Li-Li-2-hightemp,10.1039/C4CP01133C,number,450,Li+,7.5,C8H18N+,2.5,,,,,C2F6NO4S2-,10,,,,,,,,,,,,,,,,
,Molten salt,10.11890/1006-7191-102-129,number,900,Li+,45,K+,45,,,,,Cl-,85,F-,5,,,,,,,,,,,,,,
,Molten salt 2,10.2355/isijinternational.37.55,number,650,Li+,55,K+,39,Mg+2,5,Cs+,1,Cl-,95,I-,5,,,,,,,,,,,,,,
,Flame-retardant,10.1016/j.joule.2018.05.002,volume,300,Li+,3.2,,,,,,,F2NO4S2-,3.2,,,,,,,C6H15O4P,1,,,,,,,,
,Fame-retardant-hightemp,10.1016/j.joule.2018.05.002,volume,450,Li+,3.2,,,,,,,F2NO4S2-,3.2,,,,,,,C6H15O4P,1,,,,,,,,
,Sulfolane,10.1039/D2CP05319E,number,300,Li+,1,,,,,,,F2NO4S2-,1,,,,,,,C4H8O2S,2.5,C5H4F8O,1,,,,,,
,Sulfolane,10.1039/D2CP05319E,number,500,Li+,1,,,,,,,F2NO4S2-,1,,,,,,,C4H8O2S,2.5,C5H4F8O,1,,,,,,
Na,Baseline,10.1002/adfm.201100854,volume,300,Na+,1,,,,,,,ClO4-,1,,,,,,,C3H4O3,1,C3H6O3,1,,,,,,
,Baseline-hightemp,10.1002/adfm.201100854,volume,370,Na+,1,,,,,,,ClO4-,1,,,,,,,C3H4O3,1,C3H6O3,1,,,,,,
,Baseline2,10.1016/j.jpowsour.2011.09.008,volume,300,Na+,1,,,,,,,F6P-,1,,,,,,,C4H6O3,1,,,,,,,,
,Baseline2-hightemp,10.1016/j.jpowsour.2011.09.008,volume,450,Na+,1,,,,,,,F6P-,1,,,,,,,C4H6O3,1,,,,,,,,
,Baseline3,10.1039/C3CP53077A,volume,270,Na+,0.8,,,,,,,CF3O3S-,0.8,,,,,,,C3H4O3,1,C3H6O3,2,,,,,,
,Baseline3-hightemp,10.1039/C3CP53077A,volume,370,Na+,0.8,,,,,,,CF3O3S-,0.8,,,,,,,C3H4O3,1,C3H6O3,2,,,,,,
,IL,10.1016/j.jpowsour.2013.03.089,number,300,Na+,2,C9H20N+piper,8,,,,,F2NO4S2-,10,,,,,,,,,,,,,,,,
,IL-hightemp,10.1016/j.jpowsour.2013.03.089,number,370,Na+,2,C9H20N+piper,8,,,,,F2NO4S2-,10,,,,,,,,,,,,,,,,
,IL2,10.1039/C4CP00365A,number,300,Na+,1,C9H20N+piper,3,,,,,F2NO4S2-,3,C2F6NO4S2-,1,,,,,,,,,,,,,,
,IL2-hightemp,10.1039/C4CP00365A,number,370,Na+,1,C9H20N+piper,3,,,,,F2NO4S2-,3,C2F6NO4S2-,1,,,,,,,,,,,,,,
,Molten-salt-1,10.1016/j.electacta.2012.01.097,Number,325,Na+,40,K+,25,Cs+,35,,,F2NO4S2-,100,,,,,,,,,,,,,,,,
,Molten-salt-1-hightemp,10.1016/j.electacta.2012.01.097,Number,450,Na+,40,K+,25,Cs+,35,,,F2NO4S2-,100,,,,,,,,,,,,,,,,
,Molten-salt-2,10.1016/j.elecom.2008.10.001,Number,325,Na+,45,K+,55,,,,,F2NO4S2-,100,,,,,,,,,,,,,,,,
,Molten-salt-2-hightemp,10.1016/j.elecom.2008.10.001,Number,450,Na+,45,K+,55,,,,,F2NO4S2-,100,,,,,,,,,,,,,,,,
,Ether,10.1016/j.electacta.2017.02.007,mass,300,Na+,1,,,,,,,CF3O3S-,1,,,,,,,C4H10O2,1,,,,,,,,
,Ether-hightemp,10.1016/j.electacta.2017.02.007,mass,350,Na+,1,,,,,,,CF3O3S-,1,,,,,,,C4H10O2,1,,,,,,,,
,Additive,10.1039/D0TA11689K,volume,300,Na+,1.1,,,,,,,F6P-,1,F2O2P-,0.1,,,,,C3H4O3,1,C3H6O3,2,,,,,,
,Additive-hightemp,10.1039/D0TA11689K,volume,370,Na+,1.1,,,,,,,F6P-,1,F2O2P-,0.1,,,,,C3H4O3,1,C3H6O3,2,,,,,,
,Aqueous-1,10.1021/ie070564c,mass,300,Na+,1,,,,,,,OH-,1,,,,,,,H2O,1,,,,,,,,
,Aqueous-1-hightemp,10.1021/ie070564c,mass,350,Na+,1,,,,,,,OH-,1,,,,,,,H2O,1,,,,,,,,
,Aqueous-1-concentrated,10.1021/ie070564c,mass,300,Na+,10,,,,,,,OH-,10,,,,,,,H2O,1,,,,,,,,
,Aqueous-2,10.1021/ie070564c,mass,300,Na+,1,,,,,,,CO3-2,0.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-2-hightemp,10.1021/ie070564c,mass,350,Na+,1,,,,,,,CO3-2,0.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-2-concentrated,10.1021/ie070564c,mass,300,Na+,4,,,,,,,CO3-2,2,,,,,,,H2O,1,,,,,,,,
,Aqueous-3,10.1021/ie070564c,mass,300,Na+,1,,,,,,,O4S-2,0.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-3-hightemp,10.1021/ie070564c,mass,350,Na+,1,,,,,,,O4S-2,0.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-3-concentrated,10.1021/ie070564c,mass,300,Na+,3,,,,,,,O4S-2,1.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-4,10.1021/ie070564c,mass,300,Na+,0.5,,,,,,,Cl-,0.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-4-hightemp,10.1021/ie070564c,mass,350,Na+,0.5,,,,,,,Cl-,0.5,,,,,,,H2O,1,,,,,,,,
,Aqueous-4-concentrated,10.1021/ie070564c,mass,300,Na+,3,,,,,,,Cl-,3,,,,,,,H2O,1,,,,,,,,
,Aqueous-5,10.1021/ie070564c,mass,300,Na+,1.5,,,,,,,OH-,1,CO3-2,0.25,,,,,H2O,1,,,,,,,,
,Aqueous-5-hightemp,10.1021/ie070564c,mass,350,Na+,1.5,,,,,,,OH-,1,CO3-2,0.25,,,,,H2O,1,,,,,,,,
,Aqueous-6,10.1021/ie070564c,mass,300,Na+,1.5,,,,,,,CO3-2,0.375,O4S-2,0.375,,,,,H2O,1,,,,,,,,
,Aqueous-6-hightemp,10.1021/ie070564c,mass,350,Na+,1.5,,,,,,,CO3-2,0.375,O4S-2,0.375,,,,,H2O,1,,,,,,,,
,NaWISE,10.1002/aenm.201701189,mass,300,Na+,2,,,,,,,CF3O3S-,2,,,,,,,H2O,1,,,,,,,,
,NaWISE-hightemp,10.1002/aenm.201701189,mass,370,Na+,2,,,,,,,CF3O3S-,2,,,,,,,H2O,1,,,,,,,,
,NaWISE-concentrated,10.1002/aenm.201701189,mass,300,Na+,9,,,,,,,CF3O3S-,9,,,,,,,H2O,1,,,,,,,,
,NaWISE2,10.1021/acsenergylett.7b00623,mass,300,Na+,10,,,,,,,F2NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,NaWISE2-hightemp,10.1021/acsenergylett.7b00623,mass,370,Na+,10,,,,,,,F2NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,NaWISE2-concentrated,10.1021/acsenergylett.7b00623,mass,300,Na+,30,,,,,,,F2NO4S2-,30,,,,,,,H2O,1,,,,,,,,
Mg,Mixed1,10.1016/j.xcrp.2020.100265,volume,300,Mg+2,0.5,,,,,,,Cl-,0.2,CF3O3S-,0.8,,,,,C4H10O2,1,,,,,,,,
,Mixed1-hightemp,10.1016/j.xcrp.2020.100265,volume,350,Mg+2,0.5,,,,,,,Cl-,0.2,CF3O3S-,0.8,,,,,C4H10O2,1,,,,,,,,
,Mixed1-diffconc,10.1016/j.xcrp.2020.100265,volume,300,Mg+2,1,,,,,,,Cl-,0.8,CF3O3S-,1.2,,,,,C4H10O2,1,,,,,,,,
,Mixed3,10.1039/C5CP00859J,volume,300,Mg+2,0.4,Al+3,0.4,,,,,Cl-,2,,,,,,,C4H10O2,1,,,,,,,,
,Mixed3-hightemp,10.1039/C5CP00859J,volume,370,Mg+2,0.4,Al+3,0.4,,,,,Cl-,2,,,,,,,C4H10O2,1,,,,,,,,
,Mixed4,10.1021/acsenergylett.9b02211,volume,300,Mg+2,0.5,,,,,,,C2F6NO4S2-,0.8,BH4-,0.2,,,,,C6H14O3,1,,,,,,,,
,Mixed4-hightemp,10.1021/acsenergylett.9b02211,volume,400,Mg+2,0.5,,,,,,,C2F6NO4S2-,0.8,BH4-,0.2,,,,,C6H14O3,1,,,,,,,,
,PF6,10.1021/jacs.6b04319,volume,300,Mg+2,0.7,,,,,,,F6P-,1.4,,,,,,,C2H3N,1,C4H8O,1,,,,,,
,F6P-hightemp,10.1021/jacs.6b04319,volume,350,Mg+2,0.7,,,,,,,F6P-,1.4,,,,,,,C2H3N,1,C4H8O,1,,,,,,
,F6P-2,10.1021/jacs.6b04319,volume,300,Mg+2,0.1,,,,,,,F6P-,0.2,,,,,,,C2H3N,1,,,,,,,,
,F6P-2-hightemp,10.1021/jacs.6b04319,volume,350,Mg+2,0.1,,,,,,,F6P-,0.2,,,,,,,C2H3N,1,,,,,,,,
,Mixed5,10.1149/2.0161513jes,volume,300,Mg+2,0.75,,,,,,,C2F6NO4S2-,0.5,Cl-,1,,,,,C2H6O,1,,,,,,,,
,Mixed5-hightemp,10.1149/2.0161513jes,volume,350,Mg+2,0.75,,,,,,,C2F6NO4S2-,0.5,Cl-,1,,,,,C2H6O,1,,,,,,,,
,IL,10.1149/1.2052048,number,300,Mg+2,1,C9H20N+piper,3.5,,,,,CF3O3S-,2,C2F6NO4S2-,3.5,,,,,,,,,,,,,,
,IL-hightemp,10.1149/1.2052048,number,400,Mg+2,1,C9H20N+piper,3.5,,,,,CF3O3S-,2,C2F6NO4S2-,3.5,,,,,,,,,,,,,,
,Moltensalt,10.1016/S0013-4686(96)00322-2,number,920,Mg+2,100,,,,,,,F-,44,Cl-,156,,,,,,,,,,,,,,
,Moltensalt-hightemp,10.1016/S0013-4686(96)00322-2,number,1050,Mg+2,100,,,,,,,F-,44,Cl-,156,,,,,,,,,,,,,,
,PC,10.1038/s41557-018-0019-6,volume,300,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C4H6O3,1,,,,,,,,
,PC-hightemp,10.1038/s41557-018-0019-6,volume,450,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C4H6O3,1,,,,,,,,
,Amine,10.1126/science.abg3954,volume,300,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C6H14O3,3,C4H11NO,1,,,,,,
,Amine-hightemp,10.1126/science.abg3954,volume,400,Mg+2,0.5,,,,,,,C2F6NO4S2-,1,,,,,,,C6H14O3,3,C4H11NO,1,,,,,,
,Aqueous1,10.1021/acscentsci.7b00361,mass,300,Mg+2,5,,,,,,,C2F6NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,Aqueous1-hightemp,10.1021/acscentsci.7b00361,mass,350,Mg+2,5,,,,,,,C2F6NO4S2-,10,,,,,,,H2O,1,,,,,,,,
,Aqueous2,10.1021/acsenergylett.7b00040,volume,300,Mg+2,1,,,,,,,O4S-2,1,,,,,,,H2O,1,,,,,,,,
,Aqueous2-hightemp,10.1021/acsenergylett.7b00040,volume,350,Mg+2,1,,,,,,,O4S-2,1,,,,,,,H2O,1,,,,,,,,
